TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
460.00	0.547200	0.017480	0.498000	28.460000	0.000300	0.000020	0.001000	0.010000
450.00	0.559000	0.014290	0.407700	29.450000	0.000200	0.000020	0.000900	0.010000
440.00	0.570200	0.011600	0.330000	30.390000	0.000100	0.000010	0.000800	0.010000
430.00	0.581000	0.009330	0.264200	31.280000	0.000200	0.000010	0.000700	0.020000
420.00	0.591200	0.007436	0.208900	32.110000	0.000400	0.000008	0.000700	0.030000
410.00	0.601200	0.005863	0.163000	32.910000	0.000700	0.000008	0.000700	0.050000
400.00	0.610900	0.004567	0.125400	33.680000	0.000800	0.000009	0.000600	0.050000
390.00	0.620600	0.003510	0.094900	34.440000	0.000600	0.000010	0.000600	0.030000
380.00	0.630200	0.002650	0.070500	35.180000	0.000300	0.000010	0.000500	0.030000
370.00	0.639700	0.001972	0.051400	35.900000	0.000600	0.000009	0.000400	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.419600	0.080700	1.856000	16.540000	0.000400	0.000400	0.005000	0.040000
